iter	Accuracy	MultiClass
440	0.9985693848	0.1267250124
441	0.9985693848	0.1262749158
442	0.9985693848	0.1259774589
443	0.9985693848	0.1257651555
444	0.9985693848	0.1252804289
445	0.9985693848	0.124989016
446	0.9985693848	0.1246897736
447	0.9985693848	0.124439379
448	0.9985693848	0.124037002
449	0.9985693848	0.1236232494
450	0.9985693848	0.1232726771
451	0.9985693848	0.1227842629
452	0.9985693848	0.1223627333
453	0.9985693848	0.1218523289
454	0.9985693848	0.121576062
455	0.9985693848	0.1212449711
456	0.9985693848	0.1207544116
457	0.9985693848	0.1205222344
458	0.9985693848	0.1202547272
459	0.9985693848	0.120085946
460	0.9985693848	0.1196620364
461	0.9985693848	0.1193692865
462	0.9985693848	0.1189732848
463	0.9985693848	0.1184995838
464	0.9985693848	0.1182195149
465	0.9985693848	0.1179201839
466	0.9985693848	0.1176878376
467	0.9985693848	0.1172611256
468	0.9985693848	0.1167973018
469	0.9985693848	0.1164158916
470	0.9985693848	0.1159283042
471	0.9985693848	0.115472851
472	0.9985693848	0.1151862434
473	0.9985693848	0.1147614686
474	0.9985693848	0.1146110888
475	0.9985693848	0.1142981699
476	0.9985693848	0.114227171
477	0.9985693848	0.1137630528
478	0.9985693848	0.1133651918
479	0.9985693848	0.1130685374
480	0.9985693848	0.1127573454
481	0.9985693848	0.1125659189
482	0.9985693848	0.112368446
483	0.9985693848	0.111950625
484	0.9985693848	0.111581178
485	0.9985693848	0.1113791478
486	0.9985693848	0.1109792101
487	0.9985693848	0.110620831
488	0.9985693848	0.1103694683
489	0.9985693848	0.1100211693
490	0.9985693848	0.1096901001
491	0.9985693848	0.1090737561
492	0.9985693848	0.1089027084
493	0.9985693848	0.1086260442
494	0.9985693848	0.1083624394
495	0.9985693848	0.1082128135
496	0.9985693848	0.1079214324
497	0.9985693848	0.1076581729
498	0.9985693848	0.107380807
499	0.9985693848	0.1072630058
500	0.9985693848	0.1070130543
501	0.9985693848	0.106802073
502	0.9985693848	0.1065207144
503	0.9985693848	0.1061719438
504	0.9985693848	0.1059700892
505	0.9985693848	0.1057714465
506	0.9985693848	0.1055941783
507	0.9985693848	0.1053088782
508	0.9985693848	0.1050488977
509	0.9985693848	0.1047200824
510	0.9985693848	0.1045021669
511	0.9985693848	0.1042668947
512	0.9985693848	0.1039768455
513	0.9985693848	0.1036621882
514	0.9985693848	0.1033758503
515	0.9985693848	0.1030180748
516	0.9985693848	0.1028748305
517	0.9985693848	0.1026348451
518	0.9985693848	0.1023164043
519	0.9985693848	0.1018544138
520	0.9985693848	0.101555838
521	0.9985693848	0.1012541076
522	0.9985693848	0.1009251694
523	0.9985693848	0.1006553421
524	0.9985693848	0.100393641
525	0.9985693848	0.1001441944
526	0.9985693848	0.09979687289
527	0.9985693848	0.09963746516
528	0.9985693848	0.09936299013
529	0.9985693848	0.0991965487
530	0.9985693848	0.09896761429
531	0.9985693848	0.09882879382
532	0.9985693848	0.09857367599
533	0.9985693848	0.09831170795
534	0.9985693848	0.09818995002
535	0.9985693848	0.09794836774
536	0.9985693848	0.09777247967
537	0.9985693848	0.09758967408
538	0.9985693848	0.09742435659
539	0.9985693848	0.09709883852
540	0.9985693848	0.09681749917
541	0.9985693848	0.09661969803
542	0.9985693848	0.09638906955
543	0.9985693848	0.09609069072
544	0.9985693848	0.09597528909
545	0.9985693848	0.09579263311
546	0.9985693848	0.09552089464
547	0.9985693848	0.09533222431
548	0.9985693848	0.09509205913
549	0.9985693848	0.09474075841
550	0.9985693848	0.09463564911
551	0.9985693848	0.09454975612
552	0.9985693848	0.0943575132
553	0.9985693848	0.09433989076
554	0.9985693848	0.0940930748
555	0.9985693848	0.09383221606
556	0.9985693848	0.0936841031
557	0.9985693848	0.09358118165
558	0.9985693848	0.09339962966
559	0.9985693848	0.09312864981
560	0.9985693848	0.09299177537
561	0.9985693848	0.09275555083
562	0.9985693848	0.09268946013
563	0.9985693848	0.09238133709
564	0.9985693848	0.0923495111
565	0.9985693848	0.09221482973
566	0.9985693848	0.09206704991
567	0.9985693848	0.09197109011
568	0.9985693848	0.09171418079
569	0.9985693848	0.09150203816
570	0.9985693848	0.09126463011
571	0.9985693848	0.09115107291
572	0.9985693848	0.0909388144
573	0.9985693848	0.09085540821
574	0.9985693848	0.09064167878
575	0.9985693848	0.09047447889
576	0.9985693848	0.09026810655
577	0.9985693848	0.09011293312
578	0.9985693848	0.08994740528
579	0.9985693848	0.08969504886
580	0.9985693848	0.0894750217
581	0.9985693848	0.08930124426
582	0.9985693848	0.08897974779
583	0.9985693848	0.08874019786
584	0.9985693848	0.08846352702
585	0.9985693848	0.0882774917
586	0.9985693848	0.0881387868
587	0.9985693848	0.08792349251
588	0.9985693848	0.08769237123
589	0.9985693848	0.08758806447
590	0.9985693848	0.08744201363
591	0.9985693848	0.08717911325
592	0.9985693848	0.08695376729
593	0.9985693848	0.08685786384
594	0.9985693848	0.08667646427
595	0.9985693848	0.08643262845
596	0.9985693848	0.08631509741
597	0.9985693848	0.08618077542
598	0.9985693848	0.08607611007
599	0.9985693848	0.08589524774
600	0.9985693848	0.08563060038
601	0.9985693848	0.08552463521
602	0.9985693848	0.0853516061
603	0.9985693848	0.08519195784
604	0.9985693848	0.08498861713
605	0.9985693848	0.08478137867
606	0.9985693848	0.08464096762
607	0.9985693848	0.08440206227
608	0.9985693848	0.08420986376
609	0.9985693848	0.08401270659
610	0.9985693848	0.08376156382
611	0.9985693848	0.08369473222
612	0.9985693848	0.08352575101
613	0.9985693848	0.08336890486
614	0.9985693848	0.08316467836
615	0.9985693848	0.0830549477
616	0.9985693848	0.08291508592
617	0.9985693848	0.08270336407
618	0.9985693848	0.08260127421
619	0.9985693848	0.08244991663
620	0.9985693848	0.08231935405
621	0.9985693848	0.08216407296
622	0.9985693848	0.08207850109
623	0.9985693848	0.0818747837
624	0.9985693848	0.08177407993
625	0.9985693848	0.081747104
626	0.9985693848	0.08162476812
627	0.9985693848	0.08155452406
628	0.9985693848	0.0814744328
629	0.9985693848	0.08134171463
630	0.9985693848	0.08118613936
631	0.9985693848	0.08104261565
632	0.9985693848	0.08095144224
633	0.9985693848	0.08079714577
634	0.9985693848	0.08059704625
635	0.9985693848	0.08042486488
636	0.9985693848	0.08026568662
637	0.9985693848	0.08015658165
638	0.9985693848	0.08010572478
639	0.9985693848	0.08001487823
640	0.9985693848	0.07983157182
641	0.9985693848	0.07967546094
642	0.9985693848	0.0795488206
643	0.9985693848	0.07933450923
644	0.9985693848	0.0791451716
645	0.9985693848	0.07898861187
646	0.9985693848	0.07883604795
647	0.9985693848	0.07870993896
648	0.9985693848	0.07868226869
649	0.9985693848	0.07847642267
650	0.9985693848	0.07841274683
651	0.9985693848	0.07826074288
652	0.9985693848	0.07804785501
653	0.9985693848	0.07780145664
654	0.9985693848	0.07760175491
655	0.9985693848	0.07737876746
656	0.9985693848	0.0773229393
657	0.9985693848	0.07728638621
658	0.9985693848	0.07711055729
659	0.9985693848	0.07701190139
660	0.9985693848	0.07697080097
661	0.9985693848	0.07694281004
662	0.9985693848	0.07675694694
663	0.9985693848	0.07657974319
664	0.9985693848	0.07641801225
665	0.9985693848	0.07621122097
666	0.9985693848	0.07605859107
667	0.9985693848	0.07594750837
668	0.9985693848	0.07588545272
669	0.9985693848	0.07567896526
670	0.9985693848	0.0755220916
671	0.9985693848	0.07540325735
672	0.9985693848	0.07523081054
673	0.9985693848	0.07495437055
674	0.9985693848	0.07492433684
675	0.9985693848	0.07481802757
676	0.9985693848	0.07461339371
677	0.9985693848	0.07439707152
678	0.9985693848	0.07425134836
679	0.9985693848	0.074116884
680	0.9985693848	0.07403430726
681	0.9985693848	0.07400542467
682	0.9985693848	0.07387118014
683	0.9985693848	0.07385893114
684	0.9985693848	0.07365649245
685	0.9985693848	0.07352870336
686	0.9985693848	0.07337548086
687	0.9985693848	0.07322847615
688	0.9985693848	0.07308855964
689	0.9985693848	0.07300115949
690	0.9985693848	0.07281018189
691	0.9985693848	0.07265995419
692	0.9985693848	0.0724777685
693	0.9985693848	0.07225523294
694	0.9985693848	0.07220316845
695	0.9985693848	0.07199836506
696	0.9985693848	0.07191667284
697	0.9985693848	0.07169053388
698	0.9985693848	0.07155974222
699	0.9985693848	0.07139521218
700	0.9985693848	0.07130241828
701	0.9985693848	0.07122958273
702	0.9985693848	0.07113711471
703	0.9985693848	0.07103551913
704	0.9985693848	0.07084764606
705	0.9985693848	0.07072438023
706	0.9985693848	0.07064289675
707	0.9985693848	0.07063442372
708	0.9985693848	0.07053829292
709	0.9985693848	0.07034442947
710	0.9985693848	0.07029420575
711	0.9985693848	0.07021682433
712	0.9985693848	0.0700576142
713	0.9985693848	0.06988765488
714	0.9985693848	0.06978958371
715	0.9985693848	0.06977484677
716	0.9985693848	0.06964006413
717	0.9985693848	0.06954735701
718	0.9985693848	0.06932639295
719	0.9985693848	0.06922039271
720	0.9985693848	0.06905451624
721	0.9985693848	0.0689295623
722	0.9985693848	0.0687566741
723	0.9985693848	0.068621747
724	0.9985693848	0.06849541846
725	0.9985693848	0.06833492282
726	0.9985693848	0.06821395298
727	0.9985693848	0.06805741951
728	0.9985693848	0.06794404883
729	0.9985693848	0.06785402657
730	0.9985693848	0.06767123883
731	0.9985693848	0.06761558261
732	0.9985693848	0.06749332904
733	0.9985693848	0.06733557271
734	0.9985693848	0.06717922054
735	0.9985693848	0.06705805567
736	0.9985693848	0.0668661913
737	0.9985693848	0.06685832547
738	0.9985693848	0.06668271985
739	0.9985693848	0.06650762945
740	0.9985693848	0.06638564182
741	0.9985693848	0.06629923323
742	0.9985693848	0.06629224562
743	0.9985693848	0.0661789644
744	0.9985693848	0.06607139738
745	0.9985693848	0.06604020105
746	0.9985693848	0.06603315993
747	0.9985693848	0.06599182855
748	0.9985693848	0.06590551351
749	0.9985693848	0.06584065568
750	0.9985693848	0.06575206407
751	0.9985693848	0.06561805067
752	0.9985693848	0.06561121304
753	0.9985693848	0.06545352023
754	0.9985693848	0.06533895583
755	0.9985693848	0.06527308279
756	0.9985693848	0.06514835746
757	0.9985693848	0.06497368493
758	0.9985693848	0.06495053835
759	0.9985693848	0.06486077613
760	0.9985693848	0.06485289528
761	0.9985693848	0.06469505486
762	0.9985693848	0.06453166256
763	0.9985693848	0.06452407054
764	0.9985693848	0.06443157478
765	0.9985693848	0.06425294694
766	0.9985693848	0.06414400934
767	0.9985693848	0.06404490244
768	0.9985693848	0.06391102371
769	0.9985693848	0.0637276485
770	0.9985693848	0.06369688723
771	0.9985693848	0.06363099079
772	0.9985693848	0.06349624062
773	0.9985693848	0.06333096555
774	0.9985693848	0.06322972736
775	0.9985693848	0.06311221593
776	0.9985693848	0.06301243891
777	0.9985693848	0.06287759904
778	0.9985693848	0.06273022168
779	0.9985693848	0.06260164121
780	0.9985693848	0.06250392956
781	0.9985693848	0.06238826773
782	0.9985693848	0.06238367222
783	0.9985693848	0.06226750018
784	0.9985693848	0.06214487205
785	0.9985693848	0.06208554367
786	0.9985693848	0.06196106533
787	0.9985693848	0.06188540001
788	0.9985693848	0.06174546048
789	0.9985693848	0.06163576501
790	0.9985693848	0.06161523653
791	0.9985693848	0.06147233142
792	0.9985693848	0.06133216228
793	0.9985693848	0.06115468291
794	0.9985693848	0.06108088965
795	0.9985693848	0.06106880259
796	0.9985693848	0.06095290343
797	0.9985693848	0.0609118088
798	0.9985693848	0.06076853919
799	0.9985693848	0.06067322421
800	0.9985693848	0.06058623047
801	0.9985693848	0.06047387068
802	0.9985693848	0.06039678069
803	0.9985693848	0.06029179453
804	0.9985693848	0.06015010943
805	0.9985693848	0.06006455032
806	0.9985693848	0.06001378595
807	0.9985693848	0.05994089367
808	0.9985693848	0.0598552223
809	0.9985693848	0.05977360838
810	0.9985693848	0.05969617627
811	0.9985693848	0.05963929478
812	0.9985693848	0.05954678502
813	0.9985693848	0.05944179827
814	0.9985693848	0.05931385745
815	0.9985693848	0.05930832196
816	0.9985693848	0.05930153605
817	0.9985693848	0.05926714971
818	0.9985693848	0.05915929669
819	0.9985693848	0.05908776949
820	0.9985693848	0.05899923196
821	0.9985693848	0.05893098985
822	0.9985693848	0.05879878462
823	0.9985693848	0.05870654453
824	0.9985693848	0.05865223356
825	0.9985693848	0.0585485316
